date,day_of_week,week_of_year,food_item,temperature,is_exam_day,is_event_day,is_holiday,avg_last_7_days_sales,prev_day_sales,quantity_prepared,actual_sales,leftover_quantity
2024-01-01,0,1,Fried Rice,32.48,1,1,0,131,144,136,125,11
2024-01-02,1,1,Idli Sambar,29.31,1,0,0,146,141,133,126,7
2024-01-03,2,1,Fried Rice,37.9,1,0,0,81,86,59,43,16
2024-01-04,3,1,Idli Sambar,33.84,1,1,0,89,79,91,80,11
2024-01-05,4,1,Sandwich,37.31,1,1,0,148,149,158,154,4
2024-01-06,5,1,"Schezwan Fried Rice,Paneer Butter Masala",37.69,1,1,0,139,138,156,141,15
2024-01-07,6,1,Fried Rice,30.71,0,0,1,62,51,51,45,6
2024-01-08,0,2,Sandwich,29.83,0,1,0,132,123,167,168,0
2024-01-09,1,2,Dal Tadka,27.0,0,0,0,143,155,163,138,25
2024-01-10,2,2,Dal Tadka,28.54,0,0,0,103,116,119,87,32
2024-01-11,3,2,Noodles,28.85,1,1,0,63,49,63,47,16
2024-01-12,4,2,"Schezwan Fried Rice,Paneer Butter Masala",31.95,0,1,0,63,69,104,86,18
2024-01-13,5,2,Rajma Rice,33.69,0,0,0,131,129,137,128,9
2024-01-14,6,2,Fried Rice,30.86,0,0,1,141,140,126,126,0
2024-01-15,0,3,"Schezwan Fried Rice,Paneer Butter Masala",32.91,0,1,0,94,81,119,93,26
2024-01-16,1,3,Fries,34.44,0,0,0,100,112,109,88,21
2024-01-17,2,3,Fried Rice,25.52,0,0,0,82,96,83,72,11
2024-01-18,3,3,Fries,29.44,0,1,0,145,156,162,144,18
2024-01-19,4,3,Fried Rice,31.81,0,1,0,60,49,94,94,0
2024-01-20,5,3,Rajma Rice,26.77,1,1,0,68,67,81,61,20
2024-01-21,6,3,Idli Sambar,23.1,0,0,1,111,124,92,63,29
2024-01-22,0,4,Idli Sambar,28.6,1,1,0,82,73,98,74,24
2024-01-23,1,4,Veg Biryani,38.11,1,0,0,87,73,78,75,3
2024-01-24,2,4,Fries,34.12,1,0,0,116,121,102,98,4
2024-01-25,3,4,Paratha,27.93,0,1,0,121,116,155,122,33
2024-01-26,4,4,Pasta,23.01,1,0,0,60,69,61,37,24
2024-01-27,5,4,Dal Tadka,25.65,0,0,0,86,79,85,83,2
2024-01-28,6,4,Dal Tadka,27.47,1,1,1,103,111,87,78,9
2024-01-29,0,5,Chicken Biryani,31.51,0,0,0,111,112,131,121,10
2024-01-30,1,5,Masala Dosa,22.71,1,1,0,71,85,68,49,19
2024-01-31,2,5,Upma,24.64,1,1,0,140,151,147,127,20
2024-02-01,3,5,Idli Sambar,25.04,1,0,0,113,120,87,67,20
2024-02-02,4,5,Paratha,27.13,0,1,0,103,113,129,106,23
2024-02-03,5,5,Upma,27.89,1,0,0,114,109,114,85,29
2024-02-04,6,5,"Schezwan Fried Rice,Paneer Butter Masala",37.01,0,0,1,129,135,118,99,19
2024-02-05,0,6,Poha,22.99,0,0,0,75,60,89,84,5
2024-02-06,1,6,Idli Sambar,38.53,0,0,0,78,88,89,73,16
2024-02-07,2,6,Masala Dosa,34.37,0,1,0,79,70,121,93,28
2024-02-08,3,6,Poha,32.14,0,0,0,60,55,78,81,0
2024-02-09,4,6,Idli Sambar,17.65,1,1,0,101,88,108,92,16
2024-02-10,5,6,Rajma Rice,31.14,0,0,0,119,120,115,110,5
2024-02-11,6,6,Chole Bhature,36.54,1,0,1,71,60,25,17,8
2024-02-12,0,7,Noodles,23.82,1,0,0,107,107,82,82,0
2024-02-13,1,7,Idli Sambar,23.4,1,0,0,113,121,90,82,8
2024-02-14,2,7,Masala Dosa,31.13,0,0,0,148,135,173,157,16
2024-02-15,3,7,"Schezwan Fried Rice,Paneer Butter Masala",34.24,0,1,0,125,131,154,130,24
2024-02-16,4,7,Fries,23.35,0,0,0,67,58,64,44,20
2024-02-17,5,7,Noodles,29.87,1,0,0,107,103,100,97,3
2024-02-18,6,7,Paratha,32.7,1,1,1,110,116,87,83,4
2024-02-19,0,8,Masala Dosa,22.51,0,0,0,80,94,86,69,17
2024-02-20,1,8,Noodles,22.97,0,0,0,120,120,136,115,21
2024-02-21,2,8,Idli Sambar,29.83,0,1,0,123,124,165,161,4
2024-02-22,3,8,Upma,21.08,0,0,0,65,52,72,71,1
2024-02-23,4,8,"Schezwan Fried Rice,Paneer Butter Masala",28.78,1,1,0,105,110,108,77,31
2024-02-24,5,8,"Schezwan Fried Rice,Paneer Butter Masala",28.91,1,0,0,91,98,63,58,5
2024-02-25,6,8,Idli Sambar,27.62,1,0,1,84,78,33,19,14
2024-02-26,0,9,Veg Biryani,31.15,1,0,0,145,152,130,122,8
2024-02-27,1,9,Idli Sambar,25.96,0,0,0,61,71,79,52,27
2024-02-28,2,9,Masala Dosa,32.09,0,1,0,98,111,128,127,1
2024-02-29,3,9,Rajma Rice,26.36,1,1,0,109,118,122,116,6
2024-03-01,4,9,Idli Sambar,27.22,1,0,0,146,145,118,119,0
2024-03-02,5,9,Noodles,29.36,0,0,0,122,128,143,140,3
2024-03-03,6,9,Dal Tadka,21.06,0,0,1,117,127,101,87,14
2024-03-04,0,10,Chole Bhature,31.79,1,0,0,129,128,120,93,27
2024-03-05,1,10,Fries,37.8,1,1,0,64,55,62,49,13
2024-03-06,2,10,Idli Sambar,30.64,1,1,0,106,93,106,98,8
2024-03-07,3,10,Pasta,30.08,1,1,0,89,92,102,93,9
2024-03-08,4,10,Chicken Biryani,32.21,1,0,0,117,124,100,91,9
2024-03-09,5,10,Upma,29.32,1,1,0,71,76,70,66,4
2024-03-10,6,10,Idli Sambar,26.03,0,1,1,60,59,59,47,12
2024-03-11,0,11,Veg Biryani,34.73,1,0,0,60,60,50,20,30
2024-03-12,1,11,Veg Biryani,36.33,1,1,0,81,94,84,78,6
2024-03-13,2,11,Veg Biryani,36.33,1,1,0,116,129,130,103,27
2024-03-14,3,11,Masala Dosa,26.46,1,1,0,106,107,122,108,14
2024-03-15,4,11,Upma,33.5,1,0,0,92,106,72,71,1
2024-03-16,5,11,Paratha,33.0,1,0,0,69,75,46,24,22
2024-03-17,6,11,Fried Rice,30.01,0,0,1,128,125,103,91,12
2024-03-18,0,12,Poha,33.78,1,0,0,61,62,57,41,16
2024-03-19,1,12,Idli Sambar,37.93,0,1,0,92,105,135,109,26
2024-03-20,2,12,Upma,23.81,0,1,0,71,58,86,73,13
2024-03-21,3,12,Sandwich,27.57,1,0,0,67,80,55,55,0
2024-03-22,4,12,Sandwich,31.04,0,1,0,93,96,122,99,23
2024-03-23,5,12,Masala Dosa,24.79,0,1,0,134,147,160,152,8
2024-03-24,6,12,"Schezwan Fried Rice,Paneer Butter Masala",36.63,1,0,1,95,89,47,42,5
2024-03-25,0,13,Idli Sambar,21.06,0,0,0,83,90,93,78,15
2024-03-26,1,13,Veg Biryani,23.9,0,1,0,114,111,139,140,0
2024-03-27,2,13,Dal Tadka,30.06,1,1,0,148,154,160,148,12
2024-03-28,3,13,Paratha,34.65,0,1,0,108,96,146,122,24
2024-03-29,4,13,Poha,27.94,0,0,0,87,85,103,106,0
2024-03-30,5,13,Upma,34.92,1,0,0,75,80,51,40,11
2024-03-31,6,13,Paratha,36.02,1,0,1,112,119,75,53,22
2024-04-01,0,14,Rajma Rice,24.02,0,1,0,112,106,146,138,8
2024-04-02,1,14,Fried Rice,34.88,0,0,0,134,136,154,131,23
2024-04-03,2,14,Pasta,29.26,1,0,0,133,143,114,122,0
2024-04-04,3,14,Idli Sambar,28.71,1,0,0,99,93,78,83,0
2024-04-05,4,14,Masala Dosa,35.92,1,1,0,125,114,124,117,7
2024-04-06,5,14,Fries,35.3,0,0,0,145,149,170,142,28
2024-04-07,6,14,Pasta,31.19,1,0,1,148,145,94,76,18
2024-04-08,0,15,Noodles,29.18,0,1,0,113,104,146,135,11
2024-04-09,1,15,Idli Sambar,39.3,0,0,0,98,112,107,87,20
2024-04-10,2,15,Chicken Biryani,37.22,0,0,0,79,91,93,69,24
2024-04-11,3,15,Fries,20.43,1,0,0,98,83,82,77,5
2024-04-12,4,15,Masala Dosa,29.46,0,1,0,84,92,104,99,5
2024-04-13,5,15,Noodles,32.01,1,1,0,65,75,78,58,20
2024-04-14,6,15,Fried Rice,31.12,0,1,1,95,82,101,102,0
2024-04-15,0,16,"Schezwan Fried Rice,Paneer Butter Masala",30.06,0,1,0,77,76,100,93,7
2024-04-16,1,16,Dal Tadka,25.51,0,0,0,146,155,162,140,22
2024-04-17,2,16,Fries,37.63,1,1,0,75,67,81,73,8
