date,day_of_week,week_of_year,month,time_slot,is_weekend,is_holiday,is_exam_day,food_item,food_category,is_veg,price,portion_size,is_special_item,prev_day_sales,prev_same_slot_sales,prev_week_same_day_slot_sales,avg_last_3_days_sales,avg_last_7_days_sales,sales_trend_3_days,sales_trend_weekly,demand_variance,quantity_prepared,quantity_sold,quantity_wasted,leftover_percentage,max_capacity,staff_count,weather_type,temperature
2024-03-20,2.0,12.0,3.0,11:00-13:00,0.0,0.0,1.0,Pasta,FastFood,0.0,88.0,1.0,1.0,0.0,108.0,89.0,101.0,109.0,4.0,28.0,5.0,214.0,158.0,56.0,26.17,0.0,3.0,Sunny,31.0
2024-03-04,0.0,10.0,3.0,11:00-13:00,0.0,0.0,1.0,Coffee,Beverage,1.0,93.0,1.0,0.0,126.0,142.0,126.0,128.0,121.0,4.0,0.0,17.0,222.0,179.0,43.0,19.37,335.0,7.0,Rainy,0.0
2024-04-06,5.0,14.0,4.0,09:00-11:00,1.0,1.0,0.0,Sandwich,FastFood,1.0,36.0,1.5,1.0,186.0,177.0,199.0,185.0,162.0,-9.0,-22.0,11.0,163.0,177.0,-14.0,-8.59,317.0,8.0,Cloudy,33.0
2024-01-06,5.0,1.0,1.0,11:00-13:00,1.0,1.0,0.0,Pasta,FastFood,0.0,65.0,2.0,0.0,189.0,199.0,0.0,200.0,194.0,-10.0,22.0,5.0,0.0,88.0,90.0,50.56,270.0,4.0,Rainy,32.0
2024-01-31,2.0,5.0,1.0,09:00-11:00,0.0,0.0,1.0,Burger,FastFood,1.0,99.0,2.0,0.0,0.0,145.0,102.0,127.0,0.0,-10.0,-27.0,24.0,124.0,171.0,-47.0,-37.9,271.0,6.0,Sunny,33.0
2024-03-15,4.0,11.0,3.0,11:00-13:00,0.0,0.0,0.0,Veg Wrap,FastFood,0.0,63.0,2.0,1.0,60.0,41.0,60.0,53.0,85.0,-15.0,-30.0,21.0,104.0,162.0,0.0,-55.77,236.0,5.0,Sunny,23.0
2024-02-09,4.0,6.0,2.0,11:00-13:00,0.0,1.0,1.0,Veg Wrap,Beverage,0.0,77.0,1.0,0.0,125.0,107.0,109.0,114.0,150.0,-7.0,-28.0,12.0,186.0,95.0,91.0,48.92,289.0,8.0,Sunny,30.0
2024-04-02,1.0,14.0,4.0,13:00-15:00,0.0,0.0,0.0,Milk,Beverage,0.0,94.0,1.0,0.0,180.0,187.0,200.0,184.0,159.0,3.0,-18.0,12.0,160.0,81.0,79.0,49.38,206.0,3.0,Sunny,23.0
2024-02-18,6.0,7.0,2.0,11:00-13:00,1.0,0.0,1.0,Burger,FastFood,1.0,28.0,2.0,0.0,66.0,60.0,51.0,62.0,45.0,18.0,-7.0,4.0,176.0,0.0,5.0,2.84,214.0,7.0,Cloudy,36.0
2024-01-02,1.0,1.0,1.0,13:00-15:00,0.0,0.0,1.0,Milk,Beverage,0.0,80.0,2.0,1.0,159.0,147.0,180.0,149.0,147.0,7.0,-21.0,11.0,218.0,159.0,59.0,27.06,293.0,0.0,Sunny,34.0
2024-03-29,4.0,13.0,3.0,09:00-11:00,0.0,0.0,0.0,Veg Wrap,FastFood,1.0,35.0,2.0,0.0,75.0,89.0,91.0,72.0,94.0,0.0,-19.0,13.0,193.0,158.0,35.0,18.13,237.0,7.0,Rainy,29.0
2024-01-18,3.0,3.0,1.0,13:00-15:00,0.0,1.0,0.0,Milk,Beverage,1.0,91.0,1.0,0.0,108.0,120.0,90.0,93.0,132.0,13.0,-23.0,13.0,154.0,0.0,46.0,29.87,0.0,9.0,Cloudy,34.0
2024-01-15,0.0,3.0,1.0,09:00-11:00,0.0,0.0,0.0,Burger,FastFood,0.0,71.0,1.0,0.0,98.0,86.0,124.0,102.0,114.0,13.0,-18.0,16.0,210.0,117.0,93.0,44.29,241.0,3.0,Rainy,34.0
2024-02-08,3.0,6.0,2.0,11:00-13:00,0.0,0.0,1.0,Burger,FastFood,0.0,36.0,1.0,1.0,122.0,111.0,104.0,119.0,116.0,-14.0,14.0,23.0,206.0,102.0,104.0,50.49,221.0,7.0,Rainy,22.0
2024-04-03,2.0,14.0,4.0,11:00-13:00,0.0,1.0,0.0,Pasta,FastFood,0.0,77.0,1.5,0.0,136.0,118.0,112.0,127.0,122.0,18.0,30.0,23.0,128.0,205.0,-77.0,-60.16,325.0,9.0,Cloudy,32.0
